Plate_ID,Registration_State,Plate_Type,Vehicle_Make,Issuer_Code,Street_Name,Vehicle_Year
658ZOV,CT,PAS,JEEP,929329,STEUBEN ST,0
BE11259,NY,COM,,944623,3RD,0
GYA6065,NY,PAS,GMC,915643,MERRICK BLVD,2014
28648MH,NY,COM,MERCU,950103,CHRISTOPHER ST,0
DTY8552,NY,PAS,TOYOT,959536,UNION ST,2015
266055,DE,PAS,FORD,960089,E 24 STREET,0
T669002C,NY,OMT,CHRYS,923649,6 AVE,2013
60430MD,NY,COM,,955136,FORT HAM PKWY,0
20520P,CT,PAS,SUBAR,588951,EAST 170 ST,0
GZE1586,NY,PAS,TOYOT,943171,W 83,2013
HPZ4641,99,PAS,KIA,941975,PACIFIC ST,2016
GES3496,NY,PAS,TOYOT,958438,W/S LENOX TERRACE PL,2008
HML4133,NY,PAS,TOYOT,935154,S/S 76 AVE,2007
HMM2552,NY,PAS,MAZDA,917992,W 82 ST,2016
HHK8590,NY,PAS,ME/BE,929917,DEPEW AVE,2016
GMH9177,NY,PAS,JEEP,686958,PACIFC ST,2017
55064MB,NY,COM,FORD,938237,1 AVE,2011
85923MD,NY,COM,FORD,938707,3 AVE,2011
JDS8771,PA,PAS,MAZDA,529707,MAIN STREET,0
HNG6858,NY,PAS,FORD,921067,SOUTH ST,0
HNR7543,NY,PAS,NISSA,890092,JEROME AVE,2013
HNY5130,NY,PAS,BMW,963164,DENFIELD ST,2003
GRQ5655,OH,PAS,CHEVR,960667,E 225TH STREET,0
26596MB,NY,COM,CHEVR,958446,WEST 106 STREET,2012
BMIKE,99,PAS,,948331,BOWEY,0
HLG1348,NY,PAS,LEXUS,952593,W 104 ST,2014
T664091C,NY,OMT,LINCO,357687,S/O 32 PL,2011
EWY4933,NY,PAS,TOYOT,990393,20TH AVE,2010
CPU5195,NY,PAS,,958741,C/O E 18 ST,2003
GUU8390,NY,PAS,HONDA,948879,3 ST,0
HHF9899,NY,PAS,JEEP,668022,OCEAN PARKWAY,1997
GEK1101,NY,PAS,HONDA,515323,16 AVE,2013
GNA5323,NY,PAS,KIA,962715,MEEKER AVE,2007
HRD6407,NY,PAS,VOLVO,160250,FATHER CAPODANO BLVD,1998
HNY5591,NY,PAS,HONDA,959433,WALLACE AVE,1999
63554JM,NY,COM,GMC,886342,CENTRAL PARK WEST,1980
828692N,NJ,PAS,JEEP,957540,S/E C/O W 173RD ST,0
GCH1138,NY,PAS,LARO,959283,47 ST,2001
