ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,DISTANCE
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,0,0,1826
ABQ,JFK,3,0,1826
ABQ,JFK,0,5,1826
ABQ,JFK,0,5,1826
ABQ,JFK,0,11,1826
ABQ,JFK,42,24,1826
ABQ,JFK,0,36,1826
ABQ,JFK,55,47,1826
ABQ,JFK,58,47,1826
ABQ,JFK,45,53,1826
ABQ,JFK,131,135,1826
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,0,0,289
ALB,BWI,2,0,289
ALB,BWI,2,0,289
ALB,BWI,3,0,289
ALB,BWI,3,0,289
ALB,BWI,4,0,289
ALB,BWI,5,0,289
ALB,BWI,5,0,289
ALB,BWI,5,0,289
ALB,BWI,9,0,289
ALB,BWI,10,0,289
ALB,BWI,12,0,289
ALB,BWI,12,0,289
ALB,BWI,13,0,289
ALB,BWI,16,0,289
ALB,BWI,7,1,289
ALB,BWI,16,1,289
ALB,BWI,0,2,289
ALB,BWI,0,2,289
ALB,BWI,0,2,289
ALB,BWI,8,2,289
ALB,BWI,0,3,289
ALB,BWI,0,3,289
ALB,BWI,2,3,289
ALB,BWI,25,4,289
ALB,BWI,0,5,289
ALB,BWI,3,6,289
ALB,BWI,7,7,289
ALB,BWI,0,8,289
ALB,BWI,0,8,289
ALB,BWI,15,8,289
ALB,BWI,0,9,289
ALB,BWI,17,9,289
ALB,BWI,0,10,289
ALB,BWI,9,10,289
ALB,BWI,8,11,289
ALB,BWI,16,11,289
ALB,BWI,0,12,289
ALB,BWI,0,12,289
ALB,BWI,6,12,289
ALB,BWI,28,13,289
ALB,BWI,3,14,289
ALB,BWI,31,15,289
ALB,BWI,0,16,289
ALB,BWI,19,19,289
ALB,BWI,31,19,289
ALB,BWI,9,21,289
ALB,BWI,0,22,289
